stem,variant,role,source_path,edge_threshold,pred_edge_pixels,gt_edge_pixels,pred_edge_density,gt_edge_density,boundary_precision_tol,boundary_recall_tol,boundary_f1_tol,false_edge_pixels_tol,false_edge_ratio_tol,false_edge_density_tol,missed_gt_pixels_tol,missed_gt_ratio_tol,pred_component_count,pred_components_per_1k_edge_px,skeleton_pixels,skeleton_endpoint_count,endpoints_per_1k_skel_px,edge_width_proxy,mean_pred_to_gt_distance,p95_pred_to_gt_distance,mean_gt_to_pred_distance,p95_gt_to_pred_distance,mean_abs_luma_delta_vs_raw,p95_abs_luma_delta_vs_raw
chazhuang.3,raw_input_anchor,raw MyEdge detector-domain input anchor,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.3.jpg,0.20877896103204469,14437,903,0.140986328125,0.008818359375,0.2307266052503983,0.9844961240310077,0.3738400263697653,11106,0.7692733947496018,0.10845703125,14,0.015503875968992248,147,10.18217081111034,5484,425,77.4981765134938,2.6325674690007292,13.395193543009745,43.382023926967726,0.20602396348689664,1.0,0.0,0.0
chazhuang.3,legacy_stage1_final,locked Stage1 Final known to hurt fixed-detector MyEdge metrics,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.3_Final.png,0.5323818861269484,13555,903,0.132373046875,0.008818359375,0.20118037624492807,0.964562569213732,0.33292255611264954,10828,0.798819623755072,0.1057421875,32,0.035437430786267994,114,8.410180745112505,6842,359,52.47003800058462,1.9811458637825197,16.599203546991916,47.38143096192854,0.340144162621297,1.4142135623730951,99.54627227783203,209.0
chazhuang.3,edge_preserve_original_control,same-chain original-control sanity check,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\edge_preserve_original_control\png\Final\chazhuang.3_Final.png,0.20877896103204469,14437,903,0.140986328125,0.008818359375,0.2307266052503983,0.9844961240310077,0.3738400263697653,11106,0.7692733947496018,0.10845703125,14,0.015503875968992248,147,10.18217081111034,5484,425,77.4981765134938,2.6325674690007292,13.395193543009745,43.382023926967726,0.20602396348689664,1.0,0.0,0.0
chazhuang.3,edge_preserve_raw_bph_mild_v1,P4 mild raw-BPH edge-preserve variant,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\edge_preserve_raw_bph_mild_v1\png\Final\chazhuang.3_Final.png,0.20808812216216444,14526,903,0.14185546875,0.008818359375,0.22972600853641745,0.9844961240310077,0.3725255188933206,11189,0.7702739914635826,0.109267578125,14,0.015503875968992248,145,9.982101060167974,5513,425,77.09051333212408,2.6348630509704334,13.42070657034364,43.4511173911973,0.20778009464705932,1.0,0.6809179782867432,1.0
chazhuang.3,edge_preserve_raw_bph_moderate_v1,P4 moderate raw-BPH edge-preserve variant,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\edge_preserve_raw_bph_moderate_v1\png\Final\chazhuang.3_Final.png,0.20707765046287988,14573,903,0.142314453125,0.008818359375,0.2295340698552117,0.9844961240310077,0.3722731168360005,11228,0.7704659301447883,0.1096484375,14,0.015503875968992248,143,9.812667261373774,5523,413,74.77820025348542,2.6386022089444143,13.46947160392759,43.56604182158393,0.2033504157987758,1.0,0.7302832007408142,1.0
chazhuang.3,generic_luma_clahe_mild_v1,P7 generic luminance CLAHE control,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\generic_luma_clahe_mild_v1\png\Final\chazhuang.3_Final.png,0.22699367859784295,15114,903,0.14759765625,0.008818359375,0.22045785364562656,0.9844961240310077,0.36024596199899034,11782,0.7795421463543735,0.11505859375,14,0.015503875968992248,129,8.535132989281461,5777,385,66.64358663666263,2.6162368011078416,13.909490676314988,44.204072210600685,0.20270170435068402,1.0,1.863710880279541,10.0
chazhuang.3,generic_luma_gamma_mild_v1,P7 generic luminance gamma control,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\generic_luma_gamma_mild_v1\png\Final\chazhuang.3_Final.png,0.20846088259827858,14467,903,0.141279296875,0.008818359375,0.23038639662680582,0.9844961240310077,0.37339332923441715,11134,0.7696136033731942,0.10873046875,14,0.015503875968992248,147,10.161056196861823,5503,419,76.14028711611849,2.6289296747228783,13.391421114504494,43.382023926967726,0.20778009464705932,1.0,0.0822460949420929,1.0
chazhuang.3,edge_safe_gamma_bph_v1,"P9 candidate, not MyEdge-evaluated yet",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\edge_safe_gamma_bph_v1\png\Final\chazhuang.3_Final.png,0.20846088259827858,14467,903,0.141279296875,0.008818359375,0.23038639662680582,0.9844961240310077,0.37339332923441715,11134,0.7696136033731942,0.10873046875,14,0.015503875968992248,147,10.161056196861823,5503,419,76.14028711611849,2.6289296747228783,13.391421114504494,43.382023926967726,0.20778009464705932,1.0,0.0822460949420929,1.0
chazhuang.3,boundary_aware_luma_bph_v1,"P10 candidate, not MyEdge-evaluated yet",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\boundary_aware_luma_bph_v1\png\Final\chazhuang.3_Final.png,0.21213645561068667,14419,903,0.140810546875,0.008818359375,0.23059851584714613,0.9844961240310077,0.37367187313341044,11094,0.7694014841528539,0.10833984375,14,0.015503875968992248,148,10.264234690339135,5549,422,76.04973869165616,2.598486213732204,13.445097646973057,43.41658669218482,0.21110235378327194,1.0,0.7621191143989563,1.0
chazhuang.3,skeleton_safe_luma_bph_v1,"P11 skeleton-safe smooth-only candidate, not MyEdge-evaluated yet",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\skeleton_safe_luma_bph_v1\png\Final\chazhuang.3_Final.png,0.20877896103204469,14094,903,0.13763671875,0.008818359375,0.2353483751951185,0.9844961240310077,0.3798837693223695,10777,0.7646516248048815,0.105244140625,14,0.015503875968992248,152,10.7847310912445,5305,420,79.17059377945334,2.6567389255419416,13.102167528107449,42.74866636360474,0.20823880291103838,1.0,0.24803711473941803,1.0
chazhuang.3,c01_microstructure_csp_v1,"P16 C01 microstructure-CSP candidate, Stage1 output only",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\c01_microstructure_csp_v1\png\Final\chazhuang.3_Final.png,0.2152156479218427,14378,903,0.14041015625,0.008818359375,0.2303519265544582,0.9844961240310077,0.37334805574515784,11066,0.7696480734455418,0.10806640625,14,0.015503875968992248,143,9.945750452079565,5436,412,75.79102281089035,2.6449595290654893,13.452959084056518,43.38720834175028,0.21064364551929288,1.0,0.8034472465515137,1.0
chazhuang.3,topology_guarded_microfusion_v1,"P17 topology-guarded microfusion candidate, Stage1 output only",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\topology_guarded_microfusion_v1\png\Final\chazhuang.3_Final.png,0.20942179361979169,14255,903,0.139208984375,0.008818359375,0.23254998246229394,0.9844961240310077,0.3762298817704936,10940,0.767450017537706,0.1068359375,14,0.015503875968992248,143,10.031567870922483,5354,411,76.76503548748599,2.6624953305939485,13.272750598042006,43.139309220245984,0.2088875143591302,1.0,0.9222070574760437,1.0
chazhuang.3,topology_pruned_microfusion_v1,"P18 component-pruned topology microfusion candidate, Stage1 output only",D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\topology_pruned_microfusion_v1\png\Final\chazhuang.3_Final.png,0.21011097992167754,14292,903,0.1395703125,0.008818359375,0.23250769661349008,0.9844961240310077,0.37617453986650035,10969,0.76749230338651,0.107119140625,14,0.015503875968992248,143,10.005597537083684,5395,427,79.14735866543096,2.6491195551436517,13.300710965453183,43.139309220245984,0.20667267493498845,1.0,0.9437597393989563,1.0
